mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
3256.636,6708.165,6713.385,0.793600000000213,0.017777948485009822
2345.192,7633.39,7637.629,0.44420000000002047,0.009652902950000387
3184.412,7600.123,7615.706,0.37474000000001034,0.008208614460000214
2777.589,6435.244,6428.042,0.716910000000011,0.015539468600000241
2385.994,7762.126,7778.023,0.9264200000008072,0.01992585600001335
2254.048,8298.009,8302.181,1.4356000000000784,0.0308602323000024
3634.582,5342.801,5335.724,0.12368000000000039,0.002761733509000013
3506.605,7597.37,7615.837,0.1285200000000013,0.002821273530000007
2697.859,8325.498,8344.34,0.32907000000014586,0.007101416600002
2994.067,6208.909,6214.6,0.45896000000000137,0.009815559600000051
3532.98,8663.609,8655.162,0.1947000000001151,0.004257161140001895
3488.543,7152.495,7164.681,0.11139000000009994,0.0024281735600017126
3229.928,7535.545,7515.175,0.174370000000028,0.003760017880000646
3922.115,7554.008,7541.638,0.20829000000005427,0.004537606260001149
2876.703,7936.913,7931.424,0.6960100000000476,0.015366041710000713
2241.333,7733.949,7750.168,0.8277800000000053,0.017821833880000085
3424.16,7917.204,7921.745,0.717810000000003,0.01616245138000006
2782.66,4790.587,4811.941,0.5309200000002137,0.011359481340002971
2382.138,7401.112,7384.377,0.4802700000001843,0.01025989290000405
3454.781,5860.339,5854.702,0.2444400000000035,0.005366473560000089
2765.475,7867.1,7881.324,1.4579000000000168,0.03156535100000038
2647.468,8306.227,8310.327,0.9402200000000217,0.02025139200000026
3156.552,8599.538,8606.347,0.3475400000000792,0.007404227600001286
3915.61,5799.125,5816.632,0.05557400000004094,0.0011995565120010193
3727.615,5136.432,5159.73,0.21714000000000247,0.004835571730000047
2842.61,7168.376,7143.163,0.18032000000007728,0.003960989080001385
2690.17,7689.071,7703.848,0.4831800000000438,0.010657132000000454
2502.936,7307.174,7295.019,1.5636000000001304,0.03375076200000213
3757.525,7740.661,7744.758,0.08470500000003034,0.0019089644640007371
3519.244,6814.264,6835.255,0.3345900000000042,0.007488428200000085
2852.165,8235.945,8230.828,0.30705000000004923,0.006845245780000816
3143.103,6925.629,6943.029,0.9861500000002358,0.021652436100008856
3357.471,7498.29,7493.023,0.45704000000004563,0.010380342080001131
2434.914,7114.597,7131.894,1.0347000000001567,0.022078249300006545
2453.261,6631.985,6649.959,1.9967000000000348,0.0438234610000006
3391.011,5918.83,5926.14,0.15000000000000702,0.00333379922100025
2807.763,8528.122,8523.734,0.22987000000016725,0.005107563080001737
2571.275,7289.053,7295.908,0.36852000000000806,0.008017134210000137
3843.656,6485.284,6464.366,0.09969000000010503,0.002215002790001475
3121.777,4816.651,4788.037,0.18620000000004225,0.00412270087000133
2153.661,5157.312,5133.135,2.2859000000002494,0.04772179000000243
2620.405,6838.813,6831.233,1.8359000000001129,0.04075611820000092
3545.809,6756.624,6739.95,0.4617800000000015,0.010387359350000035
3059.279,5442.827,5457.624,0.5782900000001188,0.01282036247000464
3349.363,7075.436,7082.639,0.3798700000000587,0.008363749993001345
2847.446,7671.694,7678.935,0.4587400000004102,0.009853312550004161
2602.775,7535.976,7546.642,0.22526000000007823,0.004913450000001001
2242.818,7020.176,6998.936,0.6192800000000053,0.013020813200000089
3018.528,5398.702,5410.705,0.22655000000048578,0.005007502400006944
3047.885,7548.896,7554.4,0.34420000000049195,0.0074901225000079275
3781.447,8645.025,8648.817,0.3490400000000173,0.007693270080000477
3157.528,6992.965,7004.08,0.24552000000001506,0.005323638300000384
2734.814,7334.313,7358.536,1.523800000000035,0.03329272100000036
3954.553,8134.076,8140.504,0.06885600000006659,0.0014917065000011375
3685.885,5577.267,5558.016,0.14339000000002688,0.003270271057000294
2816.12,7236.251,7226.748,0.3696600000004984,0.007997436700006674
2771.983,4741.394,4729.655,0.6589100000001327,0.014119271600007277
2567.421,6348.872,6354.464,0.4119800000002664,0.008935520900003326
3375.425,7318.068,7331.307,0.36992000000000114,0.00808289736000002
3200.682,5995.094,6001.533,0.12793000000001126,0.0028178153300001535
3623.471,6795.118,6772.222,0.4438800000000036,0.009984523920000044
3373.181,6341.901,6311.806,0.17925000000000144,0.004036294600000026
2759.595,5606.281,5591.906,0.8695500000000713,0.018289580000002817
2506.408,7658.267,7648.258,1.22450000000043,0.026944715300005292
3523.081,5015.227,4997.358,0.18278000000000288,0.003978249200000171
3120.805,6735.015,6741.17,0.47822000000017123,0.010581858800001743
2363.048,7508.021,7521.692,0.4366900000001408,0.009515212540005155
3043.328,6933.661,6907.069,0.2444800000000163,0.00530175640800031
2911.734,8236.748,8243.294,0.6192600000000026,0.013623720070000058
3081.188,8007.38,8000.832,0.17928000000003944,0.003898933830001208
3032.088,5382.771,5394.266,0.1832900000000353,0.004014702070000297
