id,mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
784,4519.914000000001,4717.566,4708.539000000001,1.1653299592007532e-07,1.6295080278536078e-07
785,3960.828,4459.419,4468.758,2.2631084202000006e-06,6.342020367808643e-07
786,5205.666,6773.113,6759.77,1.9490809447000003e-06,1.9051463049010773e-07
787,2904.915,9316.738000000001,9324.795,2.6704315283e-06,4.592415773703133e-08
788,4282.343,5440.505999999999,5448.33,2.272427083e-07,2.3481874414786287e-07
789,3424.506,8485.274,8496.107,3.4513975821e-07,4.417061336589168e-07
790,4279.148,5343.249,5321.24,1.63688669025e-05,3.915666383061393e-07
791,4723.9929999999995,9666.828000000001,9671.839,1.7019509158e-07,2.920700579273311e-09
792,7166.111999999999,12052.06,12041.51,1.8342272590000006e-07,2.1370199835404935e-08
794,4510.982,8032.643,8010.478,7.6076732898e-07,4.752126151745001e-08
795,2529.355,4323.063,4334.808,1.0340579999999998e-07,2.9787972704878897e-07
796,3824.6690000000003,6645.401999999999,6651.201,9.378359885e-07,6.312230619412947e-08
797,3579.035,4933.1720000000005,4924.9929999999995,2.25098535111e-06,2.915604795234096e-06
798,4081.345,5514.329000000001,5508.746999999999,5.05107474345e-06,1.5360838646353627e-07
799,3346.632,9880.827,9884.341999999999,1.5735040180000005e-07,8.725463029918118e-09
800,5286.104,5377.816999999999,5346.978,8.618749392325174e-07,1.2699334084358692e-07
801,3556.053,9184.179,9165.076,8.76932345e-08,2.116916940114696e-07
805,3309.9959999999996,8509.619,8498.491,5.300429870000001e-07,5.4194693971555375e-08
807,3175.927,4859.96,4870.595,2.3910393144e-06,1.803792432736789e-06
809,3494.547,9690.327,9682.812,1.248159902e-06,1.1367447785450506e-07
811,4931.153,4844.497,4951.982,3.328354322932547e-06,8.263189231191538e-07
812,5275.298000000001,9295.52,9303.530999999999,1.30094304069521e-06,1.5178690500013143e-07
815,3130.0240000000003,6031.871999999999,6025.206999999999,1.982407463e-07,1.7434267864532453e-07
816,2895.071,3533.1459999999997,3575.897,3.6706517196e-06,6.032028703361143e-06
817,4270.784000000001,6171.606,6159.274,8.160053840999998e-07,4.461447819689625e-08
818,3495.363,4308.3240000000005,4270.293,3.4921849400000134e-08,5.207702121416381e-07
819,5170.195,7977.031,7965.2119999999995,7.5037102371e-08,5.579788386429508e-09
820,5452.993,7072.263000000001,7053.785,1.4706952826000006e-07,4.725367970448213e-08
821,5679.598000000001,6975.901,6967.599,2.08899214454e-06,1.228017564924226e-07
822,3337.403,8746.324,8754.953000000001,1.9463449536318e-06,8.988709218751617e-08
823,2626.3540000000003,6568.378000000001,6560.733,2.311655248e-06,1.897326510503291e-07
824,5025.492,5661.528,5642.496999999999,2.4972496446200007e-05,5.339101391577575e-07
825,6428.179,8772.258,8790.521999999999,1.0244507211295e-05,1.819561121143253e-07
828,4740.788,6772.236999999999,6787.718000000001,1.833793818593e-05,5.310736740121941e-07
829,2783.388,7769.883000000001,7762.6630000000005,4.015351109e-07,3.6287931531890867e-08
830,3590.0190000000002,7255.005,7249.585,7.625147712999999e-08,1.9429524284228889e-07
831,4735.652,14524.47,14521.47,1.3251143128860002e-07,1.551265245794651e-08
832,4957.72,7052.126,7036.755999999999,2.904372727898e-06,5.0345669414056396e-08
833,2940.1090000000004,4009.52,4018.776,1.0139717086000005e-06,1.1253161058975754e-07
835,1968.2779999999998,4258.649,4282.505999999999,7.744061771e-06,3.8556157891916086e-06
836,4486.1359999999995,5714.848000000001,5683.831999999999,3.7586286860000004e-08,5.3863987471483246e-08
837,3900.2340000000004,6138.278,6130.387,7.373179015e-07,2.6751005220073836e-07
838,3674.3459999999995,4991.862,5021.307,1.124926327e-07,3.1350781186203015e-07
839,3398.3959999999997,6136.2919999999995,6141.781,4.1786948245e-06,6.523226520671621e-08
840,2070.4970000000003,6515.576,6542.624,3.370768066e-06,1.8568746141599e-07
841,4123.758,8077.435,8069.048000000001,2.7317265241000004e-07,8.03631928523513e-09
843,4142.082,7969.191,7953.016,3.0176435228e-06,5.785874026169901e-08
844,5696.335,5449.97,5689.438,2.6710330090008877e-07,1.833387211461788e-07
846,3381.6929999999998,5609.726,5577.849,4.9131282451e-07,2.0987289060343878e-07
848,4248.056,7362.312,7342.528,7.136167684e-08,1.2731061665890005e-08
849,5312.835,5858.651999999999,5843.034000000001,2.047250155200065e-07,1.1471971066127508e-07
850,6500.465999999999,6345.187,6511.233,1.0937114228220115e-06,5.473237764090986e-08
851,3717.009,7800.358,7779.0740000000005,1.8379971362e-06,1.0661166893209042e-07
852,2945.684,7042.309,7046.763000000001,2.4033625359999998e-06,9.352143504430556e-08
853,3583.645,10097.16,10112.37,1.2189700751999998e-06,4.810983448953847e-08
854,2323.833,4412.708,4428.8820000000005,1.8559038430000002e-06,3.6728854423422215e-07
855,6792.066999999999,10089.09,10073.01,7.504353114100001e-07,6.646713238774882e-08
856,6382.483,7514.286999999999,7507.076,1.99125200083e-06,5.643334773982196e-08
857,2994.9629999999997,8511.39,8495.834,1.105882839e-07,9.459948622953066e-09
858,4826.1140000000005,8297.451,8277.83,4.786255942000001e-09,1.0073492719821117e-08
859,2907.655,6904.619000000001,6887.774,9.75032327e-08,4.155739831197001e-08
861,4379.149,5721.079000000001,5735.718000000001,2.0499621983700002e-06,1.4583626654564734e-07
862,5822.887,6165.909000000001,6160.916,2.4779155469305083e-06,1.742706074825824e-07
863,4678.375,4924.416,4939.889,6.467051670001655e-07,2.4827756571624487e-07
864,6223.056,8160.7119999999995,8152.971,7.581039621630001e-06,1.7212162673399127e-07
865,5081.187,5693.388000000001,5686.265,9.8571575641e-07,2.319188082298305e-07
866,3493.402,6320.556,6346.71,3.5354046126e-06,8.8228491329756e-08
867,4972.294,4695.509,4979.442,5.170966550001598e-08,8.401083113186497e-08
868,3579.4559999999997,7058.132,7038.682,1.7902418110000005e-07,3.6262445214292616e-08
869,3404.735,10277.46,10290.63,1.717277813e-07,2.285335307116028e-08
870,4059.297,5102.920999999999,5092.56,2.0632844880000003e-06,9.630889918274842e-07
871,2254.874,7037.473000000001,7026.196999999999,3.030289955e-07,7.606893691502162e-08
872,5611.359,6604.89,6583.869000000001,1.03744837921e-06,1.2493981587627596e-07
873,6055.794,5954.234,6045.321,4.116092154480024e-06,8.02746947891249e-08
874,3236.2909999999997,6100.424,6107.598000000001,1.136503153e-06,3.9866029353252093e-07
875,3824.554,4164.675,4153.979,2.2755787683014128e-06,7.129414007097262e-08
876,2202.65,5437.979,5430.004,1.422684121e-06,8.534390158600099e-08
878,7235.978,7711.472,7726.772,3.217624876400009e-07,2.7464306909381734e-08
879,2568.374,11926.66,11922.86,6.3351892e-08,5.886477213055223e-09
881,6275.025,7745.148,7756.794,1.9666585346003002e-07,4.674261789270712e-07
882,3550.283,3964.9809999999998,3946.4440000000004,2.473011427070032e-05,2.601618857174537e-06
884,4051.4120000000003,6444.484,6459.2390000000005,2.8493359140000003e-07,1.645010110753186e-07
885,5137.5,7888.64,7882.826,1.0048669836e-06,9.664477540162748e-08
886,4032.176,9026.07,9029.846,7.630941719099997e-06,1.4809825994885099e-07
887,4390.536,5055.252,5083.205,4.79801712716e-05,1.326417977628628e-06
890,4172.04,7155.369000000001,7164.009,6.98836458e-07,6.279488675650713e-08
891,2285.817,9334.823,9319.84,3.476044e-08,1.6150746814805355e-07
892,4741.8279999999995,5861.161999999999,5869.874,4.9253325148e-06,9.467285071880999e-08
893,3900.409,10680.4,10675.08,2.196031268e-07,6.060542777982631e-09
894,3093.6079999999997,4543.985,4560.557,9.769235560000002e-07,1.7817622068453738e-07
896,3126.616,7050.439,7038.69,8.39495516e-08,3.8944771215210914e-08
898,3221.473,4106.5470000000005,4078.505,1.97742820391e-05,2.419294339679899e-06
900,4150.395,8413.17,8425.554,2.07234752289e-05,4.314766899458888e-07
901,5800.529,7388.27,7383.53,2.294640870267e-06,2.6185552913186193e-07
902,2787.2490000000003,10517.78,10514.06,1.728298772e-06,7.599863277391842e-08
903,3604.907,6920.728,6903.869000000001,2.9132965969999998e-08,6.773233804853038e-07
904,5194.866,6593.444,6605.258000000001,6.417859443100006e-07,7.310775682671558e-08
905,6345.965999999999,8019.5740000000005,8007.55,3.2021189696e-07,4.700771583186553e-07
906,3842.526,9407.675,9418.985999999999,1.2292038594200002e-06,3.666906964046188e-08
907,4732.93,8569.334,8565.757,2.56223371304e-07,1.4841546357398143e-08
908,3500.509,5592.99,5602.905,3.78756029e-08,1.0415067236761193e-07
909,5372.168000000001,7285.703,7280.86,1.89842298069e-06,2.6495252719876835e-08
911,5256.081,7196.803000000001,7192.445,1.9780851147e-06,3.714009851659959e-08
912,6103.734,6988.448,6983.604,1.84393022517e-06,3.881539136956088e-08
913,2345.265,5159.213,5167.394,6.915613985e-07,2.1807306717589666e-06
916,5783.528,8771.848,8777.677,1.0343843330399999e-06,4.2279573138694166e-08
917,4018.105,4259.7029999999995,4276.371,2.3517142620003982e-07,5.137831159874056e-07
918,1763.799,8925.235999999999,8906.756,2.4624848600000004e-07,4.9112166440106113e-08
919,4183.604,7743.081,7733.7390000000005,2.2631973879e-07,1.4283459353209832e-07
920,5418.513000000001,7375.306,7380.758000000001,1.0656103864700002e-06,3.638095950865904e-08
921,3924.708,7191.456999999999,7197.463000000001,3.1883662440000003e-07,2.208396343616736e-07
922,2512.621,4344.316,4356.652,1.508353763e-07,5.0787655986114993e-08
923,3681.52,6291.944,6269.309,2.4773362946e-06,2.2832740719598108e-07
924,4612.196,8056.653,8060.726,6.00948407e-08,2.165275305531481e-08
925,5873.401,10499.61,10493.2,4.16226155315e-07,2.1549664897527476e-08
926,8596.882,9774.708,9765.048,4.5327773758999994e-07,1.5561788235392358e-08
927,4524.025,10798.52,10807.41,4.489697201960002e-06,1.2345724187301382e-07
928,7063.852,7255.073,7237.071999999999,2.7074770933055687e-05,6.230944682152545e-07
929,3001.923,7297.775,7280.813,2.5663431e-08,8.169625813839253e-08
930,5017.054,6805.191999999999,6799.111,2.11128665155e-06,1.1573957645719216e-07
931,2992.2270000000003,4891.27,4897.64,3.4661047000000007e-06,4.4582601921681404e-07
932,4721.525,6133.361,6143.486,4.3153171518e-06,1.3514113341290416e-06
933,2894.466,9658.803,9669.791,7.713829378999999e-08,5.1490758620948276e-08
934,4244.425,5009.275,4999.635,1.69885455346e-05,2.010925005815333e-07
935,4057.652,6898.805,6876.599,3.0040758e-08,3.018703720045515e-08
938,4996.771,6858.394,6866.473000000001,6.319137405300001e-07,4.9679132702957216e-08
939,6465.656999999999,9290.421999999999,9300.419,4.1371294023190005e-06,1.0268950136771145e-07
940,4407.590999999999,5094.504,5075.82,6.092228070000004e-08,3.204603942727297e-07
941,5092.419,9565.694,9559.696,2.6588133135999997e-07,2.1768890965596158e-08
942,3613.3459999999995,6527.991,6536.509,2.16370004547e-05,5.270779086327841e-07
943,3992.94,5177.933,5210.747,2.7610833085000003e-07,5.52932115641538e-08
944,4969.345,5822.63,5803.441999999999,3.4814007027e-06,2.2402213222333728e-07
947,4793.708,8002.359,8006.146,8.146295360130001e-06,3.079853635627241e-07
948,5060.365,4890.831,5066.98,3.117253504800153e-06,2.1937393018858265e-07
949,5905.7080000000005,6018.125,6010.865,9.774927222035276e-07,1.1720445580358396e-07
950,4208.945,13071.36,13081.83,2.9441623741440004e-07,2.2016075704723204e-08
951,4598.29,5536.732,5523.585,8.755452770000003e-08,8.872074177752613e-08
952,6710.6269999999995,8075.496,8080.7480000000005,4.791839790337e-07,4.457191909200346e-07
953,3968.176,3831.676,3995.664,1.8550425774013195e-06,3.0735628122492105e-07
954,3286.562,8583.947,8595.153,1.0619769297e-06,5.138001254970324e-08
955,4822.4929999999995,7051.99,7062.935,2.977820521923e-05,8.237174100304023e-07
956,3971.3179999999998,7791.115,7786.435,5.78856554e-08,2.7206756179732866e-08
957,5174.293,5209.9529999999995,5201.802,5.859204351024248e-06,1.2102170179400315e-06
959,4077.16,7851.066,7861.008000000001,2.2205476661e-07,6.287382628441818e-08
960,4277.92,5653.271,5647.6269999999995,8.417132913000002e-07,6.100479168067187e-08
961,5210.037,5303.13,5318.795,3.2414858340071905e-07,2.7699559341276864e-07
962,2357.464,12863.89,12874.92,7.15797904e-08,2.9395084395700335e-08
963,7539.806,9282.655,9277.225,9.118727764796499e-07,6.199096703801059e-08
964,2635.813,3507.28,3479.717,1.4570234950000004e-06,3.2813887940273565e-06
966,5354.972,10213.37,10218.01,4.1546126829000003e-07,1.4461588778903746e-08
967,5794.899,8946.035,8940.716999999999,7.5677325381e-07,5.102578306787831e-08
969,2750.6079999999997,6829.170999999999,6804.409000000001,7.394718916e-07,3.014104494129802e-08
971,1810.1870000000001,3656.158,3682.8140000000003,8.4715361634e-06,8.223472900127471e-06
972,6627.995,6866.347,6850.187,1.2220018126069002e-05,2.4662746623126604e-07
973,4286.438,6157.757,6182.053000000001,3.98552057776e-06,1.569903006176802e-07
974,2522.6020000000003,5462.098000000001,5486.313,4.463082599999999e-08,6.143461056535579e-07
975,6101.066,7199.145,7209.5380000000005,1.3895827102549999e-06,3.840058087469461e-07
976,5824.94,7629.089,7606.648,8.738166885161101e-07,5.948630746154333e-08
977,4874.912,11292.63,11298.59,3.4083584162504e-07,1.532417163798419e-08
978,3767.968,6697.603,6691.401,1.2444693757000002e-06,1.2981735513327782e-07
979,5844.526,7183.453,7170.158,4.6088639153999995e-07,2.4606239117116237e-08
980,3816.49,4139.561,4131.815,1.910697308000512e-07,2.8538745389935323e-07
981,4360.665,9764.363000000001,9768.588,1.1957789173457899e-06,1.0105851289068525e-07
982,6508.785,7193.044,7206.041,1.1124427864000012e-07,6.482745752086883e-09
983,4455.899,6330.996,6325.2919999999995,5.36797298e-08,1.4008351334987874e-07
984,3244.177,5221.298,5239.163,4.1317044530000006e-06,3.0677294622832973e-07
985,5810.512,7157.628000000001,7134.093000000001,1.58022933192446e-06,5.148739400741254e-08
987,4032.02,5393.328,5361.27,8.496475704000002e-07,1.9175843979189054e-07
988,3959.827,8398.878,8380.083,1.08243092692e-07,1.2732453591676854e-08
989,4715.835999999999,7830.729,7835.776,1.0810261589000001e-07,4.972047154302506e-08
990,5132.895,7874.356,7878.349,1.19249129251501e-06,4.5926039326696974e-08
991,3933.5840000000003,5817.8330000000005,5827.319,1.9540254390579998e-05,5.520636740849122e-07
993,5227.806,8714.876,8720.413,3.7530858270199998e-06,8.315279609616383e-08
994,3320.33,10003.64,10007.62,2.146732167e-07,4.896727507084264e-09
995,3044.092,6003.986,5978.986999999999,1.9372047159e-06,5.670109483126911e-08
996,3594.191,4286.157,4278.719,5.0064139887e-06,2.6826242697761563e-07
997,4076.969,8807.473,8802.19,6.025006682600001e-07,3.757457189682413e-08
998,5336.839,6172.594,6202.1630000000005,2.5775196745000005e-07,3.4289783682460713e-07
999,4143.129,7458.951,7479.158,1.3927127700000002e-08,2.1882428503842118e-08
1000,2646.09,8633.226999999999,8628.382,4.6799262874e-06,3.2334363333160427e-07
1002,3906.538,5346.223000000001,5356.11,2.7624619783e-06,1.5354870376949512e-06
1003,2268.494,7234.422,7254.017,2.0750856774e-06,6.004852952570075e-08
1004,3094.947,4364.758,4388.159000000001,2.1835136540000005e-07,9.30279834207657e-07
1005,4203.423,8713.375,8717.181999999999,1.17671587414e-05,2.3377654495380826e-07
1006,3834.245,6416.451,6411.137,1.32507399558e-06,6.184735758617105e-08
1007,6216.096,8435.499,8440.581,9.8787746183e-07,1.0318452358954713e-07
1008,5388.523,5156.79,5406.969,1.7104629980314e-05,4.7843984628728e-07
1009,6574.976,9494.604,9485.636999999999,1.7229624922000005e-07,1.790206752197022e-08
1010,3008.3909999999996,6514.24,6503.371999999999,1.4350284719999998e-07,9.876589110394033e-08
1011,2729.934,4482.246,4506.4529999999995,1.4232484901e-05,3.0495401134439e-07
1012,3476.75,5162.852,5181.707,1.743062259e-06,1.8064261575640102e-07
1013,3599.05,4394.177,4370.771,3.000708066e-06,2.2328639161244306e-07
1015,3510.3779999999997,8022.272,8017.684,4.0487789851999984e-06,1.4882530983867323e-07
1016,2900.4,6752.717,6737.1990000000005,3.3781755100000005e-07,3.580904228509879e-08
1017,4436.321,6613.545999999999,6634.404,9.339943825200001e-07,2.594738357094003e-08
1018,5243.302,7960.099,7955.189,7.0370978295e-07,5.4176790469041327e-08
1019,4022.743,7881.78,7889.221,2.5191596807e-06,9.374980955532881e-08
1021,5253.495,8721.569,8729.575,2.38858812691e-06,5.134075186014435e-08
1022,4145.583,4850.92,4843.904,3.7322188845000014e-06,4.5594741953494796e-07
1023,5049.2390000000005,9348.457,9352.702,2.4570788233100003e-07,1.276709187129306e-08
1024,7139.544,10838.94,10852.34,7.895993497609999e-07,1.0353423395552306e-08
1026,6473.704000000001,7025.137,7011.431,7.157844301800022e-08,2.2346022665824107e-07
1027,4564.1140000000005,4785.885,4765.6990000000005,4.574254929976018e-06,1.5733281942431017e-07
1028,5990.0509999999995,8675.403,8666.437,9.6465814288e-07,2.573689808728805e-08
1030,2633.8790000000004,8991.588,8986.347,4.21466309e-07,5.8703820784029164e-08
1033,1589.9379999999999,3464.132,3475.42,2.5328551086e-06,5.398881393887348e-06
1034,3178.79,6089.415,6095.379,4.002381549e-07,3.010529528750491e-07
1035,3835.5370000000003,5254.274,5260.249,1.6754644220000054e-07,7.972582716401151e-08
1036,3734.385,8297.253,8308.768,5.452855693000001e-07,8.364050896680869e-08
1037,4262.098,4398.195,4405.112,1.212229448000023e-06,3.344252224195899e-07
1039,4140.604,9545.6,9542.224,3.287988643e-07,7.463927569067173e-08
1040,6212.347,6471.265,6466.526999999999,1.9786718159300012e-06,4.8461048456500196e-08
1041,5618.859,6523.99,6515.965999999999,2.2709649462700003e-06,3.7406668916962943e-07
1042,5677.505999999999,9959.041,9954.023000000001,2.10784287212e-06,9.299249673209188e-08
1043,4422.451,6782.918000000001,6790.456,5.4390995764e-06,1.4788967439314994e-07
1044,4516.483,5325.071999999999,5331.946999999999,1.47489832818e-06,8.95934987568212e-07
1045,3751.759,7205.035,7199.149,7.3454043e-08,1.2555142255693658e-07
1046,6626.705,7502.130999999999,7495.735,7.834374603806502e-07,3.120766307553547e-07
1047,6849.878000000001,7432.3330000000005,7417.036,1.064769917526e-07,7.981219489473504e-08
1048,4867.897,6917.4259999999995,6927.7480000000005,9.121456268870001e-07,5.567453809943111e-08
1049,2925.73,7666.549,7646.053000000001,1.3306390574000002e-07,3.783172518618446e-08
1051,2545.689,5496.815,5484.236999999999,1.49260316882e-05,4.3474176075452606e-07
1052,6147.863,9293.377,9288.562,2.16970679573e-06,2.9760414289010483e-08
1053,7482.92,7477.765,7487.065,1.4554426900373801e-06,7.617320083487437e-08
1055,2356.554,5229.532,5220.065,1.221640862e-06,6.508364184468e-08
1056,3877.531,5356.714,5367.081999999999,1.490223084e-07,2.673386079819806e-07
1057,3991.136,9492.942,9496.779,3.8194692688e-07,3.100910455309812e-08
1058,2940.438,4508.133,4499.724,2.254278629e-07,2.2879238765906923e-06
1059,5917.953,6764.338000000001,6788.392,6.04926824231e-06,1.1794953346370275e-07
1060,5393.701999999999,9956.371,9946.556999999999,1.3259815922199998e-07,6.748490224433179e-09
1062,3068.631,7835.543000000001,7822.967,3.0348556706e-06,4.8603882274964185e-08
1064,3161.325,4799.98,4793.471,3.858536048999999e-06,7.421812478684398e-07
1065,3887.8920000000003,7895.911,7906.209,1.7786604217000004e-06,2.852153221269269e-08
1066,5352.931,9756.533000000001,9749.051,1.652256624e-07,2.744243051649821e-08
1067,2916.4759999999997,6530.215,6552.46,2.81347105722e-06,5.475736644314817e-08
1068,2351.692,6400.666,6412.246999999999,9.279930581e-07,7.330843327005451e-07
1069,4101.509,3834.736,4111.062,2.94205283653e-05,1.7258083438151245e-06
1070,4255.995,7625.365,7629.956,4.9211086966e-06,3.180132031637615e-07
1071,5480.151999999999,6442.888000000001,6436.59,5.8687053170752055e-06,4.300740321403689e-07
1072,4985.274,9296.403,9287.948,1.2828178383999994e-07,2.7016810340981364e-08
1074,4381.005999999999,9305.761999999999,9311.732,1.6861923879999996e-07,1.402831677991375e-08
1076,4178.998,5168.697,5162.477,1.4506871310000004e-06,5.466816198784692e-07
1077,3642.845,8843.034,8825.802,4.451643729e-07,2.6812002518933348e-08
1079,4433.786,5617.380999999999,5595.53,8.167550545630001e-06,4.482391428016535e-07
1081,2873.292,4691.529,4709.089,3.1635211e-08,2.8377941054005237e-07
1083,4879.274,4789.019,4869.733,5.54578296360674e-07,5.966537781768706e-08
1085,2929.3109999999997,7608.936,7613.3859999999995,9.85180979658e-06,1.4410560022654916e-06
1086,3464.522,5342.920999999999,5368.522,1.247644629e-06,1.0658505413004317e-06
1087,4976.045999999999,4768.995,4991.113,1.2293721193000076e-06,2.3098707591660647e-07
1088,3341.741,6867.597,6841.547,1.3083279673e-06,1.5316327356046306e-07
1089,4695.7029999999995,9507.529,9511.662,4.466589762862e-05,5.903612211054494e-07
1090,2528.4410000000003,6157.266,6128.215,1.3977028160000002e-06,2.3684423766294297e-07
1091,3932.914,6495.234,6501.914000000001,2.48182192e-08,2.49739925554322e-08
1092,2838.945,4150.215,4141.4,1.3670376710000002e-06,1.505654423832885e-06
1093,5210.81,5599.4259999999995,5591.609,3.0696474611e-06,8.418949752194267e-08
1094,3396.485,4390.7,4405.102,2.200108092e-07,1.1347049340968432e-06
1095,3197.3909999999996,6570.816999999999,6545.516,8.148470957000002e-07,1.7809058721017478e-07
1096,3054.5209999999997,7659.479,7666.178000000001,6.777678865e-07,6.276565251852901e-08
1097,2684.659,4358.897,4342.765,4.022825297e-07,6.142396716799271e-07
1098,4820.064,8473.85,8477.613000000001,5.0699851069e-07,1.5576171062509554e-07
1099,6625.9619999999995,8283.23,8288.466999999999,3.081987157000001e-07,1.2353579938580532e-08
1100,3431.663,8712.812,8700.373,1.2989248139e-06,6.270067052299563e-08
1101,5226.912,7040.811,7050.244000000001,2.8702066949099997e-06,1.2138373874383207e-07
1102,4017.8320000000003,6361.859,6353.024,2.2588186948000003e-07,1.8209504798598008e-08
1103,5302.5509999999995,6110.279,6097.590999999999,1.9631461867000058e-07,1.3356716947378274e-07
1104,6872.945,8313.488000000001,8291.683,1.4434379590458e-07,6.701089590133692e-08
1105,8110.408,10180.35,10165.86,1.9126394833e-07,2.3028112986713037e-08
1106,7146.335,8322.69,8303.1,7.219992886527438e-06,1.405406652642452e-07
1107,4742.634,11892.85,11889.72,9.34824237e-08,5.193104374124622e-09
1109,4237.148,6626.960999999999,6650.304,6.14369061733e-06,1.2968929218629629e-07
1110,3166.52,5772.304,5786.334,1.1043773369e-06,5.00685800354464e-08
1111,4262.278,4488.86,4477.031,2.25528640208e-05,5.462891738503498e-07
1113,3708.45,4830.139,4839.746,9.409390116e-07,2.691834202244686e-06
1114,5416.914000000001,6877.526999999999,6872.815,7.61133728205e-06,1.638642707874522e-07
1115,2994.914,4027.54,4006.449,3.994053135e-06,4.99195029916986e-07
1116,2304.365,6981.519,6995.706,5.711548682e-07,4.401580066773418e-07
1117,3879.8,4050.637,4032.6940000000004,1.9715959610000343e-07,6.494909302768178e-07
1118,3887.446,10911.3,10908.37,8.302934001999998e-07,1.576243491334194e-08
1119,2740.972,6750.299,6757.518,1.3457522545000003e-06,3.207492713548891e-07
1122,5742.887,7692.745,7702.041,5.0053716472e-07,6.707659870672822e-08
1124,2489.147,7368.189,7377.7080000000005,5.123158370000001e-07,7.614472741398723e-08
1125,4351.6179999999995,7171.094,7188.98,1.1492819385e-07,1.0475571977265246e-07
1126,4829.194,4952.774,4959.679,8.469936449082181e-08,1.1142335448139484e-07
1127,3312.836,5070.755,5045.095,1.66237098189e-06,6.665071470997439e-07
1128,4077.32,7288.043000000001,7265.319,3.3874193003099997e-06,1.4337891896968652e-07
1131,4053.4440000000004,14532.32,14542.99,2.405602646819431e-06,7.188803256750879e-08
1134,5333.684,8319.934000000001,8314.286,7.842934738381e-08,8.312800062408925e-09
1135,3095.821,7205.451,7181.084,7.573506242999999e-08,5.310618166369806e-07
1136,4677.766,5190.258,5159.063,8.83929126029e-06,1.558445278148919e-06
1137,2164.451,4923.42,4900.931,3.58362376e-07,1.0462193280364199e-07
1138,5123.293,5599.646,5611.374,8.704355091000017e-07,7.017318067900974e-08
1139,4853.877,8744.882,8726.259,8.44742271622e-06,2.926071922503732e-07
1140,5635.552,5704.267,5689.524,9.734230314402291e-07,8.849769077515654e-08
