id,mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
728,2747.723,7866.558000000001,7853.972,1.414539119e-06,4.4638642665350215e-08
729,3334.7459999999996,9883.366,9878.455,1.40391692317e-08,5.930354325900721e-09
730,3044.336,6683.96,6706.919,9.715445084e-07,5.177183776823791e-08
731,3302.8990000000003,5827.161,5833.8730000000005,2.4042778100000004e-07,5.34252852699662e-07
732,3238.651,7170.5830000000005,7163.924,6.378604754e-07,2.688599606052258e-08
735,7372.463000000001,9688.081,9696.901,3.1171040445895697e-06,1.1447175809400463e-07
736,3610.4509999999996,6009.342,6037.311,0.0001052292964438,1.6337140857031334e-06
738,4017.5359999999996,6897.08,6877.726,7.67705523e-08,5.406646294051932e-08
744,5321.145,7624.5,7616.763000000001,2.3914843568e-07,1.248435581723099e-08
745,5482.095,7010.391,7020.501,1.2646850268306e-05,2.9150851351894665e-07
746,3430.158,7375.423000000001,7369.793000000001,9.824203750399999e-07,3.0264739948037305e-08
747,4108.674,5937.283,5968.443,1.45680951254e-05,5.356014204237293e-07
748,7643.158,8444.237,8424.19,3.8862303724100454e-07,7.620403482614756e-09
750,5660.669,9309.752,9295.044,3.508253796298e-06,5.938512705945599e-08
751,2950.485,5421.0419999999995,5426.779,3.4228251180000008e-06,1.10495510594175e-07
752,7730.3369999999995,10369.54,10374.23,4.775585785686e-07,3.9474307972187196e-08
753,3603.595,8455.663,8447.624,5.963428529e-07,1.4183100205734265e-08
754,3064.46,6424.139,6414.311,1.010249082e-07,1.8368827614229798e-08
755,3826.3509999999997,7105.775,7101.4619999999995,7.2267270884e-07,1.773327467278945e-07
756,5744.474,7035.901999999999,7052.977,2.02213374144e-06,1.5034138541433395e-07
757,3871.3179999999998,4390.929,4417.657999999999,1.5231815610000046e-07,4.290790501195666e-07
761,4327.884,11100.84,11095.58,6.365190623100001e-07,1.1219390246439109e-08
762,5154.825,5057.035,5141.062,4.096027769510132e-06,8.568163838079161e-08
763,3800.7459999999996,8307.105,8284.271999999999,6.56060001e-08,8.439284433582769e-09
765,4498.116,6803.568,6811.484,5.0632619317e-06,2.6105103221678263e-07
766,4801.055,7231.806,7218.766,8.203052913000001e-08,8.657872919197665e-08
769,4530.571,5878.978,5864.4130000000005,1.1231039720000005e-07,1.1467451554931815e-07
771,4197.77,8252.293,8236.433,1.5581447387e-06,2.9348596191488825e-08
772,2776.21,9400.255,9388.311,1.277121527e-07,1.5763524483697028e-07
773,3548.9959999999996,9554.778,9540.916,5.05011395e-07,1.6227899762734848e-07
774,4194.227,7813.731,7831.064,1.1493926559e-06,2.0717694625922138e-07
775,4537.134,5721.524,5727.823,5.7669332665e-06,2.138656463506182e-07
777,3833.5229999999997,4292.905,4274.522,3.7628401609000053e-06,2.0932331266609305e-07
778,3878.563,6280.87,6285.868,4.7840145154e-06,3.509950333585877e-07
779,4670.354,5101.715999999999,5110.816,2.9595084419100092e-06,1.4296573226938132e-06
780,5077.045999999999,9141.642,9145.671999999999,1.94936547563e-07,1.6969120015839198e-08
781,6363.081999999999,8603.915,8622.296999999999,4.5911717973400004e-07,1.3257969426940381e-08
782,4264.575,4383.592000000001,4393.143,3.2878194513010864e-06,2.082885351695538e-07
783,3849.058,3907.4570000000003,3923.789,9.33017256068219e-08,2.6763698896596666e-07
